Account Transactions
Cleaned
Date Range: 2023-01-01 to 2023-12-31
Accrual (Paid & Unpaid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,2023-08-02,Dennis j Robertson - Payment for Invoice #610,,"$45,214,470,000,000,000.00","$137,936,686,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #611,,"$408,825,000,000,000.00","$137,527,861,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #612,,"$45,214,470,000,000,000.00","$92,313,391,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #613,,"$408,825,000,000,000.00","$91,904,566,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #614,,"$45,214,470,000,000,000.00","$46,690,096,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #615,,"$408,825,000,000,000.00","$46,281,271,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #616,,"$45,214,470,000,000,000.00","$1,066,801,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #617,,"$408,825,000,000,000.00","$657,976,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #618,,"$45,214,470,000,000,000.00","-$44,556,493,980,800,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #619,,"$408,825,000,000,000.00","-$44,965,318,980,800,000.00"
Totals and Ending Balance,,,"$1,516,904,160,000,000,000.00","$1,561,869,478,980,800,000.00","-$44,965,318,980,800,000.00"
Balance Change,,,"-$44,965,318,980,800,000.00",,
""
,302286979989,,,,
Starting Balance,,,,,$0.00
Greendot 5,2023-07-14,Larry's bike ahop - Bill 0332 - Ach merchant agreement payment,"$19,000,000,000,000,000.00",,"$19,000,000,000,000,000.00"
Greendot 5,2023-07-16,BBLGB - Bill  - Ach merchant agreement payment,"$4,443,750,000,000,000.00",,"$23,443,750,000,000,000.00"
Totals and Ending Balance,,,"$23,443,750,000,000,000.00",$0.00,"$23,443,750,000,000,000.00"
Balance Change,,,"$23,443,750,000,000,000.00",,
""
,202693506,,,,
Starting Balance,,,,,$0.00
Chase,2023-07-13,Write a Description,,"$78,994,553,220.00","-$78,994,553,220.00"
Totals and Ending Balance,,,$0.00,"$78,994,553,220.00","-$78,994,553,220.00"
Balance Change,,,"-$78,994,553,220.00",,
""
,6853689097,,,,
Starting Balance,,,,,$0.00
Boa,2023-07-13,Write a Description,,"$90,000,000,000.00","-$90,000,000,000.00"
Boa,2023-07-15,Write a Description,"$98,752,000,000.00",,"$8,752,000,000.00"
Totals and Ending Balance,,,"$98,752,000,000.00","$90,000,000,000.00","$8,752,000,000.00"
Balance Change,,,"$8,752,000,000.00",,
""
,Citi® MasterCard® (7920),,,,
Starting Balance,,,,,"-$9,000,061,123.17"
,2023-01-01,Created Transfer,,"$9,875,440,000,000.00","$9,866,439,938,876.83"
,2023-02-13,Created Transfer,,"$9,800,000,000,000,780.00","$9,809,866,439,939,656.83"
,2023-07-13,Dennis j Robertson - Payment for Invoice #575,"$408,825,000,000,000.00",,"$9,401,041,439,939,656.83"
,2023-07-13,Dennis j Robertson - Payment for Invoice #576,"$9,888,980,800,000.00",,"$9,391,152,459,139,656.83"
,2023-07-14,Dennis j Robertson - Payment for Invoice #577,"$74,332,650,000,000,000.00",,"-$64,941,497,540,860,343.17"
,2023-07-15,Dennis j Robertson - Payment for Invoice #583,"$45,214,470,000,000,000.00",,"-$110,155,967,540,860,343.17"
,2023-07-15,Dennis j Robertson - Payment for Invoice #582,"$408,825,000,000,000.00",,"-$110,564,792,540,860,343.17"
,2023-07-15,Direct deposit ,"$90,000,000,000.00",,"-$110,564,882,540,860,343.17"
,2023-07-15,Direct deposit ,"$78,450,000,000.00",,"-$110,564,960,990,860,343.17"
,2023-07-19,Dennis j Robertson - Payment for Invoice #592,"$45,214,380,000,000,000.00",,"-$155,779,340,990,860,343.17"
,2023-07-25,Dennis j Robertson - Payment for Invoice #596,"$45,214,451,301,000,000.00",,"-$200,993,792,291,860,343.17"
,2023-07-25,Dennis j Robertson - Payment for Invoice #600,"$45,214,470,000,000,000.00",,"-$246,208,262,291,860,343.17"
,2023-07-25,Dennis j Robertson - Payment for Invoice #603,"$408,825,000,000,000.00",,"-$246,617,087,291,860,343.17"
,2023-08-02,Bestlife - Payment for Invoice #580,,"$900,000,000,000,000.00","-$245,717,087,291,860,343.17"
,2023-08-02,Dennis j Robertson - Payment for Invoice #604,"$408,824,910,000,000.00",,"-$246,125,912,201,860,343.17"
,2023-08-02,Dennis j Robertson - Payment for Invoice #606,"$45,214,470,000,000,000.00",,"-$291,340,382,201,860,343.17"
,2023-08-02,Dennis j Robertson - Payment for Invoice #617,"$408,825,000,000,000.00",,"-$291,749,207,201,860,343.17"
Totals and Ending Balance,,,"$302,459,073,641,800,000.00","$10,709,875,440,000,780.00","-$291,749,207,201,860,343.17"
Balance Change,,,"-$291,749,198,201,799,220.00",,
""
,Accounts Payable,,,,
Starting Balance,,,,,$0.00
,2023-07-14,Dennis j Robertson - Bill ,,"$52,000,000,000,000,000.00","$52,000,000,000,000,000.00"
,2023-07-14,Larry's bike ahop - Bill 0332,,"$19,000,000,000,000,000.00","$71,000,000,000,000,000.00"
,2023-07-16,Bill payment to Dennis j Robertson,"$52,000,000,000,000,000.00",,"$19,000,000,000,000,000.00"
,2023-07-16,BBLGB - Bill ,,"$4,443,750,000,000,000.00","$23,443,750,000,000,000.00"
,2023-07-16,Bill payment to BBLGB,"$4,443,750,000,000,000.00",,"$19,000,000,000,000,000.00"
,2023-07-16,Bill #0332 | Payment to Larry's bike ahop,"$19,000,000,000,000,000.00",,$0.00
,2023-07-16,Bill payment to Dennis j Robertson,"$52,000,000,000,000,000.00",,"-$52,000,000,000,000,000.00"
Totals and Ending Balance,,,"$127,443,750,000,000,000.00","$75,443,750,000,000,000.00","-$52,000,000,000,000,000.00"
Balance Change,,,"-$52,000,000,000,000,000.00",,
""
,555555465,,,,
Starting Balance,,,,,$0.00
021000021,2023-07-19,Write a Description,,"$90,000,000,000.00","$90,000,000,000.00"
Totals and Ending Balance,,,$0.00,"$90,000,000,000.00","$90,000,000,000.00"
Balance Change,,,"$90,000,000,000.00",,
""
,Sales,,,,
Starting Balance,,,,,$0.00
,2023-07-10,Dennis j Robertson - 1 - Bike,,"$9,870,000,000,000.00","$9,870,000,000,000.00"
,2023-07-11,Dennis j Robertson - 2 - Bike,,"$503,370,000,000,000.00","$513,240,000,000,000.00"
,2023-07-11,Dennis j Robertson - 3 - Bike,,"$404,670,000,000,000.00","$917,910,000,000,000.00"
,2023-07-11,Dennis j Robertson - 3 - Bike,,"$9,781,170,000,000,000.00","$10,699,080,000,000,000.00"
,2023-07-11,Dennis j Robertson - 4 - Bike,,"$45,214,470,000,000,000.00","$55,913,550,000,000,000.00"
,2023-07-11,Dennis j Robertson - 564 - Ach payment,,"$3,900,000,000,000.00","$55,917,450,000,000,000.00"
,2023-07-11,Dennis j Robertson - 565 - Bike,,"$45,214,470,000,000,000.00","$101,131,920,000,000,000.00"
,2023-07-11,BBLGB - 566 - Ach payment,,"$41,325,000,000,000.00","$101,173,245,000,000,000.00"
,2023-07-11,BBLGB - 567 - Ach payment,,"$6,075,000,000,000.00","$101,179,320,000,000,000.00"
,2023-07-11,BBLGB - 567 - Bike,,"$5,339,670,000,000,000.00","$106,518,990,000,000,000.00"
,2023-07-11,BBLGB - 567 - Ach payment,,"$40,575,000,000,000.00","$106,559,565,000,000,000.00"
,2023-07-11,Dennis j Robertson - 568 - Ach payment,,"$4,331,325,000,000,000.00","$110,890,890,000,000,000.00"
,2023-07-11,BBLGB - 569 - Bike,,"$67,619,370,000,000,000.00","$178,510,260,000,000,000.00"
,2023-07-11,Dennis j Robertson - 570 - Ach payment,,"$408,825,000,000,000.00","$178,919,085,000,000,000.00"
,2023-07-11,BBLGB - 571 - Ach payment,,"$5,082,075,000,000,000.00","$184,001,160,000,000,000.00"
,2023-07-12,Dennis j Robertson - 572 - Bike,,"$45,214,470,000,000,000.00","$229,215,630,000,000,000.00"
,2023-07-12,Dennis j Robertson - 573 - Ach payment,,"$408,825,000,000,000.00","$229,624,455,000,000,000.00"
,2023-07-13,Dennis j Robertson - 574 - Bike,,"$45,214,470,000,000,000.00","$274,838,925,000,000,000.00"
,2023-07-13,Dennis j Robertson - 575 - Ach payment,,"$408,825,000,000,000.00","$275,247,750,000,000,000.00"
,2023-07-13,Dennis j Robertson - 576 - Ach payment,,"$424,575,000,000,000.00","$275,672,325,000,000,000.00"
,2023-07-13,Dennis j Robertson - 576 - Ach payment,,"$4,992,075,000,000,000.00","$280,664,400,000,000,000.00"
,2023-07-14,Dennis j Robertson - 577 - Ach payment,,"$33,416,325,000,000,000.00","$314,080,725,000,000,000.00"
,2023-07-14,Dennis j Robertson - 577 - Ach payment,,"$40,916,325,000,000,000.00","$354,997,050,000,000,000.00"
,2023-07-14,Dennis j Robertson - 578 - Bike,,"$45,214,470,000,000,000.00","$400,211,520,000,000,000.00"
,2023-07-14,Dennis j Robertson - 579 - Ach payment,,"$408,825,000,000,000.00","$400,620,345,000,000,000.00"
,2023-07-14,Bestlife - 580 - Ach payment,,"$4,166,325,000,000,000.00","$404,786,670,000,000,000.00"
,2023-07-14,Bestlife - 580 - Ach payment method,,"$76,109,490,000,000,000.00","$480,896,160,000,000,000.00"
,2023-07-14,Bestlife - 581 - Ach payment,,"$4,166,325,000,000,000.00","$485,062,485,000,000,000.00"
,2023-07-14,Bestlife - 581 - Ach payment method,,"$76,109,490,000,000,000.00","$561,171,975,000,000,000.00"
,2023-07-15,Dennis j Robertson - 582 - Ach payment,,"$408,825,000,000,000.00","$561,580,800,000,000,000.00"
,2023-07-15,Dennis j Robertson - 583 - Bike,,"$45,214,470,000,000,000.00","$606,795,270,000,000,000.00"
,2023-07-15,BBLGB - 584 - Ach payment method,,"$79,999,290,000,000,000.00","$686,794,560,000,000,000.00"
,2023-07-15,Dennis j Robertson - 585 - Ach payment method,,"$7,990,290,000,000,000.00","$694,784,850,000,000,000.00"
,2023-07-16,Dennis j Robertson - 586 - Bike,,"$45,214,470,000,000,000.00","$739,999,320,000,000,000.00"
,2023-07-16,Dennis j Robertson - 587 - Ach payment,,"$408,825,000,000,000.00","$740,408,145,000,000,000.00"
,2023-07-17,Dennis j Robertson - 588 - Bike,,"$45,214,470,000,000,000.00","$785,622,615,000,000,000.00"
,2023-07-17,Dennis j Robertson - 589 - Ach payment,,"$408,825,000,000,000.00","$786,031,440,000,000,000.00"
,2023-07-18,Dennis j Robertson - 590 - Bike,,"$45,214,470,000,000,000.00","$831,245,910,000,000,000.00"
,2023-07-18,Dennis j Robertson - 591 - Ach payment,,"$408,825,000,000,000.00","$831,654,735,000,000,000.00"
,2023-07-19,Dennis j Robertson - 592 - Bike,,"$45,214,470,000,000,000.00","$876,869,205,000,000,000.00"
,2023-07-19,Dennis j Robertson - 593 - Ach payment,,"$408,825,000,000,000.00","$877,278,030,000,000,000.00"
,2023-07-20,Dennis j Robertson - 594 - Bike,,"$45,214,470,000,000,000.00","$922,492,500,000,000,000.00"
,2023-07-20,Dennis j Robertson - 595 - Ach payment,,"$408,825,000,000,000.00","$922,901,325,000,000,000.00"
,2023-07-21,Dennis j Robertson - 596 - Bike,,"$45,214,470,000,000,000.00","$968,115,795,000,000,000.00"
,2023-07-21,Dennis j Robertson - 597 - Ach payment,,"$408,825,000,000,000.00","$968,524,620,000,000,000.00"
,2023-07-22,Dennis j Robertson - 598 - Bike,,"$45,214,470,000,000,000.00","$1,013,739,090,000,000,000.00"
,2023-07-22,Dennis j Robertson - 599 - Ach payment,,"$408,825,000,000,000.00","$1,014,147,915,000,000,000.00"
,2023-07-23,Dennis j Robertson - 600 - Bike,,"$45,214,470,000,000,000.00","$1,059,362,385,000,000,000.00"
,2023-07-23,Dennis j Robertson - 601 - Ach payment,,"$408,825,000,000,000.00","$1,059,771,210,000,000,000.00"
,2023-07-24,Dennis j Robertson - 602 - Bike,,"$45,214,470,000,000,000.00","$1,104,985,680,000,000,000.00"
,2023-07-24,Dennis j Robertson - 603 - Ach payment,,"$408,825,000,000,000.00","$1,105,394,505,000,000,000.00"
,2023-07-25,Dennis j Robertson - 604 - Ach payment,,"$408,825,000,000,000.00","$1,105,803,330,000,000,000.00"
,2023-07-25,Dennis j Robertson - 605 - Bike,,"$45,214,470,000,000,000.00","$1,151,017,800,000,000,000.00"
,2023-07-26,Dennis j Robertson - 606 - Bike,,"$45,214,470,000,000,000.00","$1,196,232,270,000,000,000.00"
,2023-07-26,Dennis j Robertson - 607 - Ach payment,,"$408,825,000,000,000.00","$1,196,641,095,000,000,000.00"
,2023-07-27,Dennis j Robertson - 608 - Bike,,"$45,214,470,000,000,000.00","$1,241,855,565,000,000,000.00"
,2023-07-27,Dennis j Robertson - 609 - Ach payment,,"$408,825,000,000,000.00","$1,242,264,390,000,000,000.00"
,2023-07-28,Dennis j Robertson - 610 - Bike,,"$45,214,470,000,000,000.00","$1,287,478,860,000,000,000.00"
,2023-07-28,Dennis j Robertson - 611 - Ach payment,,"$408,825,000,000,000.00","$1,287,887,685,000,000,000.00"
,2023-07-29,Dennis j Robertson - 612 - Bike,,"$45,214,470,000,000,000.00","$1,333,102,155,000,000,000.00"
,2023-07-29,Dennis j Robertson - 613 - Ach payment,,"$408,825,000,000,000.00","$1,333,510,980,000,000,000.00"
,2023-07-30,Dennis j Robertson - 614 - Bike,,"$45,214,470,000,000,000.00","$1,378,725,450,000,000,000.00"
,2023-07-30,Dennis j Robertson - 615 - Ach payment,,"$408,825,000,000,000.00","$1,379,134,275,000,000,000.00"
,2023-07-31,Dennis j Robertson - 616 - Bike,,"$45,214,470,000,000,000.00","$1,424,348,745,000,000,000.00"
,2023-07-31,Dennis j Robertson - 617 - Ach payment,,"$408,825,000,000,000.00","$1,424,757,570,000,000,000.00"
,2023-08-01,Dennis j Robertson - 618 - Bike,,"$45,214,470,000,000,000.00","$1,469,972,040,000,000,000.00"
,2023-08-01,Dennis j Robertson - 619 - Ach payment,,"$408,825,000,000,000.00","$1,470,380,865,000,000,000.00"
,2023-08-02,Dennis j Robertson - 620 - Bike,,"$45,214,470,000,000,000.00","$1,515,595,335,000,000,000.00"
,2023-08-02,Dennis j Robertson - 621 - Ach payment,,"$408,825,000,000,000.00","$1,516,004,160,000,000,000.00"
Totals and Ending Balance,,,$0.00,"$1,516,004,160,000,000,000.00","$1,516,004,160,000,000,000.00"
Balance Change,,,"$1,516,004,160,000,000,000.00",,
""
,223108457365,,,,
Starting Balance,,,,,$0.00
Aspiration,2023-02-13,Write a Description,,"$987,000,000,000,008,832.00","$987,000,000,000,008,832.00"
Aspiration,2023-02-13,Write a Description,,"$90,000,000,000,000.00","$987,090,000,000,008,832.00"
Totals and Ending Balance,,,$0.00,"$987,090,000,000,008,832.00","$987,090,000,000,008,832.00"
Balance Change,,,"$987,090,000,000,008,832.00",,
""
,Uncategorized Income,,,,
Starting Balance,,,,,"$67,940.35"
,2023-02-13,Write a Description,,"$978,400,000,000,000,000.00","$978,400,000,000,067,940.35"
,2023-07-14,Write a Description,,$0.00,"$978,400,000,000,067,940.35"
,2023-07-14,Write a Description,,$0.00,"$978,400,000,000,067,940.35"
,2023-07-15,Direct deposit ,,"$97,850,000,000.00","$978,400,097,850,067,940.35"
,2023-07-19,Write a Description,,$0.00,"$978,400,097,850,067,940.35"
,2023-07-19,(Copy of) Write a Description,,$0.00,"$978,400,097,850,067,940.35"
Totals and Ending Balance,,,$0.00,"$978,400,097,850,000,000.00","$978,400,097,850,067,940.35"
Balance Change,,,"$978,400,097,850,000,000.00",,
""
,Computer – Software,,,,
Starting Balance,,,,,$0.00
,2023-07-14,Dennis j Robertson - Bill  - Lilly,"$52,000,000,000,000,000.00",,"$52,000,000,000,000,000.00"
Totals and Ending Balance,,,"$52,000,000,000,000,000.00",$0.00,"$52,000,000,000,000,000.00"
Balance Change,,,"$52,000,000,000,000,000.00",,
""
,Uncategorized Expense,,,,
Starting Balance,,,,,"$65,384.31"
,2023-07-19,Write a Description,$0.00,,"$65,384.31"
,2023-07-19,(Copy of) Write a Description,$0.00,,"$65,384.31"
Totals and Ending Balance,,,$0.00,$0.00,"$65,384.31"
Balance Change,,,$0.00,,
""
,Dennis j Robertson jr ,,,,
Starting Balance,,,,,$0.00
4482330134526094,2023-02-06,Write a Description,,"$902,055,210,755,439,984,640.00","$902,055,210,755,439,984,640.00"
4482330134526094,2023-02-13,Write a Description,,"$900,080,000,879,999,975,424.00","$1,802,135,211,635,439,960,064.00"
4482330134526094,2023-07-15,Write a Description,,"$98,752,000,000.00","$1,802,135,211,734,191,960,064.00"
4482330134526094,2023-07-16,Bill #0332 | Payment to Larry's bike ahop,,"$19,000,000,000,000,000.00","$1,802,154,211,734,191,960,064.00"
4482330134526094,2023-07-16,Bill payment to Dennis j Robertson,,"$52,000,000,000,000,000.00","$1,802,206,211,734,191,960,064.00"
Totals and Ending Balance,,,$0.00,"$1,802,206,211,734,191,960,064.00","$1,802,206,211,734,191,960,064.00"
Balance Change,,,"$1,802,206,211,734,191,960,064.00",,
